expresar_ideas,buen_oyente,trabajo_equipo,rol_equipo,importancia_colaboracion,reaccion_problemas,nuevas_soluciones,adaptacion,aprender_nuevas_herramientas,manejo_tiempo,efectividad_tiempo,cuestionar_informacion,evaluar_puntos_vista
Muy cómodo,A veces,Poco cómodo,No tengo una preferencia clara,Importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Poco cómodo
Incomodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Muy importante,Pido ayuda,Muy frecuentemente,Difícil,Interesado,Trabajo sin mucha planificación,Efectivo,Raramente,Incomodo
Incomodo,"Sí, siempre",Incomodo,Líder,Poco importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Poco efectivo,Algunas veces,Muy cómodo
Incomodo,Generalmente sí,Cómodo,Facilitador,Importante,Pido ayuda,Muy frecuentemente,Muy difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Frecuentemente,Poco cómodo
Muy cómodo,"Sí, siempre",Incomodo,Seguidor,Poco importante,Busco soluciones inmediatamente,Frecuentemente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Poco cómodo
Cómodo,A veces,Incomodo,No tengo una preferencia clara,Importante,Busco soluciones inmediatamente,Frecuentemente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Raramente,Incomodo
Muy cómodo,Generalmente sí,Cómodo,Líder,Importante,Me siento frustrado pero lo intento,Frecuentemente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Frecuentemente,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Muy importante,Me siento frustrado pero lo intento,Frecuentemente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Frecuentemente,Muy cómodo
Muy cómodo,A veces,Cómodo,Seguidor,Muy importante,Me siento frustrado pero lo intento,Muy frecuentemente,Fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Muy cómodo
Poco cómodo,Generalmente sí,Cómodo,Líder,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Siempre,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,Seguidor,Muy importante,Me siento frustrado pero lo intento,Frecuentemente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Frecuentemente,Cómodo
Cómodo,A veces,Cómodo,Facilitador,Poco importante,Me rindo fácilmente,Muy frecuentemente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Cómodo
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Frecuentemente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Siempre,Incomodo
Poco cómodo,A veces,Incomodo,Líder,No es importante,Me siento frustrado pero lo intento,Raramente,Muy difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Raramente,Cómodo
Muy cómodo,Generalmente sí,Muy cómodo,Facilitador,Poco importante,Busco soluciones inmediatamente,Frecuentemente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Poco cómodo
Cómodo,A veces,Incomodo,Facilitador,Importante,Pido ayuda,Raramente,Fácil,Neutral,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Muy cómodo
Cómodo,A veces,Cómodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Frecuentemente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Muy cómodo
Cómodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Frecuentemente,Difícil,Neutral,Trabajo sin mucha planificación,Efectivo,Algunas veces,Muy cómodo
Poco cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy difícil,Incomodo,"Intento planificar, pero a veces me retraso",Efectivo,Frecuentemente,Muy cómodo
Poco cómodo,A veces,Poco cómodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Frecuentemente,Poco cómodo
Incomodo,A veces,Poco cómodo,Líder,Poco importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Muy cómodo
Muy cómodo,A veces,Incomodo,Facilitador,Poco importante,Busco soluciones inmediatamente,Frecuentemente,Fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Ineficiente,Raramente,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Poco importante,Me rindo fácilmente,Ocasionalmente,Difícil,Interesado,Trabajo sin mucha planificación,Ineficiente,Siempre,Poco cómodo
Cómodo,"Sí, siempre",Cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Siempre,Cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Muy frecuentemente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Efectivo,Raramente,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Cómodo,Líder,Importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Efectivo,Algunas veces,Poco cómodo
Cómodo,Generalmente sí,Muy cómodo,Facilitador,Muy importante,Me rindo fácilmente,Raramente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Frecuentemente,Cómodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,Muy importante,Me siento frustrado pero lo intento,Frecuentemente,Fácil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Incomodo
Poco cómodo,Generalmente sí,Muy cómodo,Líder,Importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Ineficiente,Raramente,Cómodo
Poco cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Siempre,Incomodo
Cómodo,Generalmente sí,Poco cómodo,Seguidor,Importante,Pido ayuda,Raramente,Fácil,Neutral,Trabajo sin mucha planificación,Ineficiente,Algunas veces,Cómodo
Cómodo,A veces,Muy cómodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Entusiasmado,Trabajo sin mucha planificación,Ineficiente,Raramente,Muy cómodo
Incomodo,A veces,Muy cómodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Ocasionalmente,Difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Muy cómodo
Muy cómodo,"Sí, siempre",Cómodo,Líder,Importante,Me rindo fácilmente,Frecuentemente,Fácil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Cómodo
Incomodo,Generalmente sí,Cómodo,Facilitador,Muy importante,Me siento frustrado pero lo intento,Muy frecuentemente,Fácil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Incomodo
Cómodo,"Sí, siempre",Poco cómodo,Líder,Poco importante,Pido ayuda,Muy frecuentemente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Raramente,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Muy importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Algunas veces,Muy cómodo
Cómodo,"Sí, siempre",Cómodo,Líder,Muy importante,Pido ayuda,Muy frecuentemente,Fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Ineficiente,Frecuentemente,Cómodo
Muy cómodo,"No, me cuesta prestar atención",Cómodo,No tengo una preferencia clara,Muy importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Efectivo,Frecuentemente,Cómodo
Incomodo,A veces,Cómodo,No tengo una preferencia clara,Muy importante,Me siento frustrado pero lo intento,Frecuentemente,Muy difícil,Entusiasmado,Trabajo sin mucha planificación,Ineficiente,Raramente,Incomodo
Poco cómodo,"Sí, siempre",Poco cómodo,Seguidor,No es importante,Me rindo fácilmente,Raramente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Muy cómodo
Poco cómodo,"Sí, siempre",Incomodo,Líder,Muy importante,Me rindo fácilmente,Frecuentemente,Difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Cómodo
Poco cómodo,"Sí, siempre",Muy cómodo,Seguidor,No es importante,Pido ayuda,Raramente,Difícil,Interesado,Trabajo sin mucha planificación,Ineficiente,Siempre,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Cómodo,Líder,Importante,Me rindo fácilmente,Ocasionalmente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Frecuentemente,Incomodo
Incomodo,Generalmente sí,Poco cómodo,Líder,No es importante,Me rindo fácilmente,Ocasionalmente,Difícil,Incomodo,"Intento planificar, pero a veces me retraso",Poco efectivo,Frecuentemente,Cómodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Muy importante,Me siento frustrado pero lo intento,Raramente,Muy difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,Muy importante,Pido ayuda,Raramente,Muy fácil,Incomodo,Planifico con antelación y sigo mi plan,Poco efectivo,Algunas veces,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,No es importante,Me rindo fácilmente,Muy frecuentemente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Incomodo
Muy cómodo,A veces,Cómodo,Líder,No es importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Siempre,Incomodo
Cómodo,Generalmente sí,Poco cómodo,Facilitador,Importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Ineficiente,Raramente,Poco cómodo
Muy cómodo,"Sí, siempre",Incomodo,Líder,Poco importante,Me rindo fácilmente,Raramente,Muy fácil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Raramente,Incomodo
Poco cómodo,A veces,Cómodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Raramente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Incomodo
Incomodo,"Sí, siempre",Cómodo,Facilitador,Poco importante,Me rindo fácilmente,Raramente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Raramente,Muy cómodo
Cómodo,A veces,Incomodo,Facilitador,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Poco cómodo
Incomodo,Generalmente sí,Poco cómodo,Líder,No es importante,Pido ayuda,Frecuentemente,Muy difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Incomodo
Cómodo,A veces,Cómodo,No tengo una preferencia clara,Importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Cómodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Muy importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Neutral,Trabajo sin mucha planificación,Muy efectivo,Raramente,Cómodo
Muy cómodo,Generalmente sí,Incomodo,Líder,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Difícil,Interesado,Trabajo sin mucha planificación,Efectivo,Frecuentemente,Muy cómodo
Muy cómodo,"Sí, siempre",Cómodo,Facilitador,Poco importante,Busco soluciones inmediatamente,Raramente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Muy cómodo
Incomodo,"Sí, siempre",Muy cómodo,Líder,Importante,Pido ayuda,Raramente,Muy difícil,Interesado,"Intento planificar, pero a veces me retraso",Ineficiente,Algunas veces,Muy cómodo
Incomodo,Generalmente sí,Poco cómodo,Líder,Poco importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Poco cómodo
Muy cómodo,"Sí, siempre",Incomodo,Líder,Poco importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Incomodo,"Intento planificar, pero a veces me retraso",Efectivo,Algunas veces,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,Importante,Pido ayuda,Ocasionalmente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Siempre,Cómodo
Poco cómodo,"Sí, siempre",Cómodo,Seguidor,Muy importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Siempre,Cómodo
Incomodo,Generalmente sí,Cómodo,Seguidor,Poco importante,Pido ayuda,Muy frecuentemente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Poco cómodo
Cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Muy importante,Me siento frustrado pero lo intento,Muy frecuentemente,Difícil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Muy cómodo
Muy cómodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Raramente,Difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Poco cómodo
Incomodo,"No, me cuesta prestar atención",Poco cómodo,Líder,Importante,Busco soluciones inmediatamente,Frecuentemente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Cómodo
Muy cómodo,Generalmente sí,Muy cómodo,Seguidor,Poco importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Interesado,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Incomodo
Poco cómodo,A veces,Incomodo,No tengo una preferencia clara,No es importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Cómodo
Cómodo,A veces,Incomodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Interesado,"Intento planificar, pero a veces me retraso",Ineficiente,Raramente,Incomodo
Muy cómodo,A veces,Incomodo,Seguidor,Importante,Busco soluciones inmediatamente,Ocasionalmente,Difícil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Frecuentemente,Muy cómodo
Cómodo,A veces,Muy cómodo,Seguidor,Importante,Me rindo fácilmente,Frecuentemente,Fácil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Muy cómodo
Incomodo,A veces,Muy cómodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Raramente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Siempre,Poco cómodo
Poco cómodo,A veces,Muy cómodo,Líder,Muy importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Cómodo
Cómodo,Generalmente sí,Poco cómodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Frecuentemente,Difícil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Raramente,Poco cómodo
Incomodo,Generalmente sí,Cómodo,Facilitador,Poco importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Algunas veces,Muy cómodo
Poco cómodo,A veces,Muy cómodo,Facilitador,Poco importante,Pido ayuda,Frecuentemente,Muy difícil,Entusiasmado,Trabajo sin mucha planificación,Poco efectivo,Algunas veces,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Efectivo,Raramente,Incomodo
Muy cómodo,Generalmente sí,Cómodo,Facilitador,Poco importante,Me siento frustrado pero lo intento,Frecuentemente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Poco efectivo,Raramente,Incomodo
Cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Cómodo
Poco cómodo,"No, me cuesta prestar atención",Cómodo,Líder,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Muy importante,Me rindo fácilmente,Frecuentemente,Muy fácil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Cómodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Seguidor,No es importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Frecuentemente,Incomodo
Cómodo,Generalmente sí,Cómodo,Seguidor,Poco importante,Me rindo fácilmente,Frecuentemente,Muy fácil,Interesado,Trabajo sin mucha planificación,Efectivo,Algunas veces,Incomodo
Poco cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Raramente,Muy cómodo
Poco cómodo,A veces,Muy cómodo,Seguidor,No es importante,Me rindo fácilmente,Ocasionalmente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Raramente,Muy cómodo
Incomodo,"Sí, siempre",Muy cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Frecuentemente,Muy difícil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Raramente,Cómodo
Poco cómodo,A veces,Incomodo,Facilitador,No es importante,Busco soluciones inmediatamente,Frecuentemente,Muy difícil,Interesado,Trabajo sin mucha planificación,Ineficiente,Siempre,Incomodo
Muy cómodo,A veces,Poco cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Algunas veces,Poco cómodo
Muy cómodo,Generalmente sí,Cómodo,Seguidor,Importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Poco cómodo
Incomodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Frecuentemente,Difícil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Siempre,Poco cómodo
Muy cómodo,A veces,Muy cómodo,No tengo una preferencia clara,No es importante,Me rindo fácilmente,Ocasionalmente,Fácil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Siempre,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Frecuentemente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Incomodo
Cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,No es importante,Me rindo fácilmente,Frecuentemente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Frecuentemente,Muy cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Seguidor,Importante,Pido ayuda,Muy frecuentemente,Muy fácil,Interesado,Trabajo sin mucha planificación,Efectivo,Siempre,Incomodo
Poco cómodo,A veces,Incomodo,Facilitador,No es importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Muy frecuentemente,Fácil,Interesado,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Muy cómodo
Poco cómodo,Generalmente sí,Cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Raramente,Muy difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Poco cómodo
Cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Incomodo,Planifico con antelación y sigo mi plan,Ineficiente,Algunas veces,Muy cómodo
Poco cómodo,"Sí, siempre",Muy cómodo,Seguidor,Muy importante,Pido ayuda,Ocasionalmente,Difícil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Frecuentemente,Cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Líder,Poco importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Cómodo
Incomodo,"Sí, siempre",Incomodo,Facilitador,Poco importante,Me rindo fácilmente,Raramente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Incomodo
Poco cómodo,A veces,Muy cómodo,No tengo una preferencia clara,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Poco cómodo
Poco cómodo,A veces,Cómodo,Facilitador,No es importante,Busco soluciones inmediatamente,Frecuentemente,Muy difícil,Entusiasmado,Trabajo sin mucha planificación,Muy efectivo,Siempre,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Algunas veces,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,Poco importante,Pido ayuda,Frecuentemente,Fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Frecuentemente,Poco cómodo
